 12941101 
|C190|060|5405|0|47,7|0|0|0|0|0|0|| 13001101 
|C190|060|5405|0|38,24|0|0|0|0|0|0|| 13001101 
|C190|160|5405|0|9,9|0|0|0|0|0|0|| 13001101 
|C190|000|5102|18|24,6|24,6|4,43|0|0|0|0|| 13002101 
|C190|060|5405|0|379,9|0|0|0|0|0|0|| 13003101 
|C190|060|5405|0|52,37|0|0|0|0|0|0|| 13004101 
|C190|100|5102|18|77,08|77,08|13,87|0|0|0|0|| 13004101 
|C190|060|5405|0|397,4|0|0|0|0|0|0|| 13005101 
|C190|060|5405|0|187,35|0|0|0|0|0|0|| 13005101 
|C190|000|5102|18|34,71|34,71|6,25|0|0|0|0|| 13005101 
|C190|160|5405|0|7,99|0|0|0|0|0|0|| 13005101 
|C190|100|5102|18|14,9|14,9|2,68|0|0|0|0|| 13006101 
|C190|060|5405|0|169,9|0|0|0|0|0|0|| 13007101 
|C190|160|5405|0|80,7|0|0|0|0|0|0|| 13008101 
|C190|000|5102|18|322,88|322,88|58,12|0|0|0|0|| 13008101 
|C190|060|5405|0|211,55|0|0|0|0|0|0|| 13008101 
|C190|160|5405|0|181,9|0|0|0|0|0|0|| 13009101 
|C190|100|5102|18|189,6|189,6|34,14|0|0|0|0|| 13009101 
|C190|060|5405|0|74,9|0|0|0|0|0|0|| 13009101 
|C190|000|5102|18|81,6|81,6|14,68|0|0|0|0|| 13010101 
|C190|000|5102|18|9,9|9,9|1,78|0|0|0|0|| 15429102 
|C190|000|5102|18|24,8|24,8|4,46|0|0|0|0|| 15430102 
|C190|060|5405|0|6,38|0|0|0|0|0|0|| 15431102 
|C190|060|5405|0|52,5|0|0|0|0|0|0|| 15432102 
|C190|100|5102|18|139,9|139,9|25,18|0|0|0|0|| 15432102 
|C190|160|5405|0|9,9|0|0|0|0|0|0|| 15433102 
|C190|000|5102|18|93,8|93,8|16,88|0|0|0|0|| 15434102 
|C190|160|5405|0|23,7|0|0|0|0|0|0|| 15435102 
|C190|100|5102|18|129,9|129,9|23,38|0|0|0|0|| 15435102 
|C190|060|5405|0|1,9|0|0|0|0|0|0|| 15436102 
|C190|160|5405|0|3,9|0|0|0|0|0|0|| 15436102 
|C190|000|5102|18|4,99|4,99|0,9|0|0|0|0|| 15436102 
|C190|060|5405|0|3,9|0|0|0|0|0|0|| 15437102 
|C190|000|5102|18|154,99|154,99|27,9|0|0|0|0|| 15437102 
|C190|060|5405|0|91,42|0|0|0|0|0|0|| 15437102 
|C190|160|5405|0|56,8|0|0|0|0|0|0|| 15438102 
|C190|160|5405|0|7,8|0|0|0|0|0|0|| 15438102 
|C190|060|5405|0|29|0|0|0|0|0|0|| 15439102 
|C190|160|5405|0|11,7|0|0|0|0|0|0|| 15440102 
|C190|000|5102|18|139,08|139,08|25,03|0|0|0|0|| 15440102 
|C190|060|5405|0|65,9|0|0|0|0|0|0|| 15441102 
|C190|160|5405|0|11,7|0|0|0|0|0|0|| 15441102 
|C190|000|5102|18|7,9|7,9|1,42|0|0|0|0|| 15442102 
|C190|060|5405|0|39,9|0|0|0|0|0|0|| 15443102 
|C190|160|5405|0|39,6|0|0|0|0|0|0|| 15444102 
|C190|060|5405|0|5,09|0|0|0|0|0|0|| 15445102 
|C190|060|5405|0|13,09|0|0|0|0|0|0|| 15446102 
|C190|060|5405|0|227,9|0|0|0|0|0|0|| 15446102 
|C190|000|5102|18|313,41|313,41|56,41|0|0|0|0|| 15447102 
|C190|160|5405|0|89,3|0|0|0|0|0|0|| 15447102 
|C190|060|5405|0|351,3|0|0|0|0|0|0|| 15447102 
|C190|000|5102|18|25,69|25,69|4,62|0|0|0|0|| 15448102 
|C190|060|5405|0|24,9|0|0|0|0|0|0|| 15449102 
|C190|000|5102|18|145,16|145,16|26,13|0|0|0|0|| 15449102 
|C190|160|5405|0|51,8|0|0|0|0|0|0|| 15449102 
|C190|060|5405|0|49,8|0|0|0|0|0|0|| 15449102 
|C190|100|5102|18|179,8|179,8|32,36|0|0|0|0|| 15450102 
|C190|000|5102|18|259,7|259,7|46,75|0|0|0|0|| 15450102 
|C190|100|5102|18|29,7|29,7|5,34|0|0|0|0|| 15451102 
|C190|060|5405|0|310,29|0|0|0|0|0|0|| 15451102 
|C190|000|5102|18|329,9|329,9|59,38|0|0|0|0|| 15451102 
|C190|100|5102|18|319,6|319,6|57,53|0|0|0|0|| 15452102 
|C190|060|5405|0|169,9|0|0|0|0|0|0|| 15453102 
|C190|060|5405|0|282,63|0|0|0|0|0|0|| 15454102 
|C190|000|5102|18|189,9|189,9|34,18|0|0|0|0|| 15455102 
|C190|060|5405|0|119,9|0|0|0|0|0|0|| 15456102 
|C190|160|5405|0|1799,9|0|0|0|0|0|0|| 15457102 
|C190|100|5102|18|51,9|51,9|9,34|0|0|0|0|| 15458102 
|C190|060|5405|0|193,4|0|0|0|0|0|0|| 15459102 
